condition_id,product_id,condition_type,rate_bonus,threshold_value,exclusive_group,evidence_text,source_url,verification_status,confidence_badge
CU-03138-1715-스마트폰-12-COND-1,CU-03138-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-03138-1715-스마트폰-12-COND-2,CU-03138-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-04016-1715-스마트폰-12-COND-1,CU-04016-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-04016-1715-스마트폰-12-COND-2,CU-04016-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-04016-1714-영업점-12-COND-1,CU-04016-1714-영업점-12,카드실적,0.2,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-04016-1714-영업점-12-COND-2,CU-04016-1714-영업점-12,자동이체,0.2,,,자동이체 납입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-04016-1714-영업점-12-COND-3,CU-04016-1714-영업점-12,기타,0.3,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-04016-1714-영업점-12-COND-4,CU-04016-1714-영업점-12,기타,0.2,,,가입연령기준 충족,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-04016-1714-영업점-12-COND-5,CU-04016-1714-영업점-12,비대면가입,0.2,,,비대면 기한부예금 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-04016-1714-영업점-12-COND-6,CU-04016-1714-영업점-12,기타,0.1,,,테트리스적금 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-01183-1715-스마트폰-12-COND-1,CU-01183-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-01183-1715-스마트폰-12-COND-2,CU-01183-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-04035-1715-스마트폰-12-COND-1,CU-04035-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-04035-1715-스마트폰-12-COND-2,CU-04035-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-04035-1714-영업점-12-COND-1,CU-04035-1714-영업점-12,카드실적,0.2,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-04035-1714-영업점-12-COND-2,CU-04035-1714-영업점-12,자동이체,0.2,,,자동이체 납입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-04035-1714-영업점-12-COND-3,CU-04035-1714-영업점-12,기타,0.3,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-04035-1714-영업점-12-COND-4,CU-04035-1714-영업점-12,기타,0.2,,,가입연령기준 충족,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-04035-1714-영업점-12-COND-5,CU-04035-1714-영업점-12,비대면가입,0.2,,,비대면 기한부예금 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-04035-1714-영업점-12-COND-6,CU-04035-1714-영업점-12,기타,0.1,,,테트리스적금 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-08005-1715-스마트폰-12-COND-1,CU-08005-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-08005-1715-스마트폰-12-COND-2,CU-08005-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-08005-1714-영업점-12-COND-1,CU-08005-1714-영업점-12,카드실적,0.2,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-08005-1714-영업점-12-COND-2,CU-08005-1714-영업점-12,자동이체,0.2,,,자동이체 납입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-08005-1714-영업점-12-COND-3,CU-08005-1714-영업점-12,기타,0.3,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-08005-1714-영업점-12-COND-4,CU-08005-1714-영업점-12,기타,0.2,,,가입연령기준 충족,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-08005-1714-영업점-12-COND-5,CU-08005-1714-영업점-12,비대면가입,0.2,,,비대면 기한부예금 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-08005-1714-영업점-12-COND-6,CU-08005-1714-영업점-12,기타,0.1,,,테트리스적금 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-03126-1715-스마트폰-12-COND-1,CU-03126-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-03126-1715-스마트폰-12-COND-2,CU-03126-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-03122-1715-스마트폰-12-COND-1,CU-03122-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-03122-1715-스마트폰-12-COND-2,CU-03122-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-03122-1714-영업점-12-COND-1,CU-03122-1714-영업점-12,카드실적,,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-03122-1714-영업점-12-COND-2,CU-03122-1714-영업점-12,자동이체,0.2,,,자동이체 납입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-03122-1714-영업점-12-COND-3,CU-03122-1714-영업점-12,기타,0.3,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-03122-1714-영업점-12-COND-4,CU-03122-1714-영업점-12,기타,,,,가입연령기준 충족,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-03122-1714-영업점-12-COND-5,CU-03122-1714-영업점-12,비대면가입,0.2,,,비대면 기한부예금 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-03122-1714-영업점-12-COND-6,CU-03122-1714-영업점-12,기타,0.1,,,테트리스적금 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-10075-1715-스마트폰-12-COND-1,CU-10075-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-10075-1715-스마트폰-12-COND-2,CU-10075-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-10186-1715-스마트폰-12-COND-1,CU-10186-1715-스마트폰-12,카드실적,0.4,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-10186-1715-스마트폰-12-COND-2,CU-10186-1715-스마트폰-12,기타,0.2,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=67,,
CU-10119-1714-영업점-12-COND-1,CU-10119-1714-영업점-12,카드실적,,,,신협체크카드 결제실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-10119-1714-영업점-12-COND-2,CU-10119-1714-영업점-12,자동이체,0.2,,,자동이체 납입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
CU-10119-1714-영업점-12-COND-3,CU-10119-1714-영업점-12,기타,0.3,,,신협공제 가입실적,http://www.cu.co.kr/product/ad/fnncGoods/selectFnncGoodsDpstInfo51.do?fnncGoodsSn=96,,
